POLYGON,HOUR,MAPE,RMSE,RSQUARED
2,24,70.89572444499933,39.621758103285636,0.5710443727367734
2,12,116.44262924182193,38.857059993387495,0.5099240262026643
2,8,148.59147912565507,35.703877158276384,0.6005895415876259
2,4,90.50324459161112,38.44940005056006,0.6368776080969282
2,2,27.764040874301887,48.58508745480558,-2.3017022089219075
2,1,19.224858192934573,33.69650528350565,-3.073379258551835
3,24,1769.1551154497304,984.360372256383,-0.18871712155726472
3,12,3340.9768263108335,557.7945938345267,0.36583170653851016
3,8,4881.612412489853,616.2411531378048,0.34205099050174903
3,4,3776.106725093781,791.1648061729697,0.31948415068226454
3,2,143.00173136694957,1072.2637769889986,-0.2356881875939616
3,1,63.185990700388814,1405.6093780353008,-49.20647418180117
4,24,19.34641300249338,30.119217312296783,0.45948270710818107
4,12,19.012821197781914,31.088350720966694,0.5836151030514232
4,8,20.401774124420037,31.802798438261878,0.3860834106516414
4,4,25.027001600365946,42.611350291795375,0.10637678774247306
4,2,28.911909163851345,55.34025204873695,-3.7280854853777585
4,1,18.462393828419135,26.205848321337214,-14.03138683974681
5,24,39.51500151299312,164.39459988136858,-0.10623694344194212
5,12,48.731295360844236,187.83406390594547,-0.20398708891885664
5,8,66.90101811080902,223.46563006861246,-1.6011780490807985
5,4,52.42435515947156,238.46753225501675,-2.551108008246825
5,2,32.163826804025085,197.60475658007098,-3.0335345735680717
5,1,32.24216596013683,146.18391359302214,-11.044377395165375
6,24,324.21524059372814,2030.4559266967494,0.7185595786875483
6,12,621.9504862090901,1560.4702855529235,0.34509034690362395
6,8,880.8749861908243,1649.224902018706,0.09711905957110212
6,4,534.5342703841796,1411.7643700181313,0.5481389922184252
6,2,30.58480952125383,753.5185723007987,0.7894215647566855
6,1,11.020476686146601,571.1941852448638,0.04668612127672955
7,24,16.067200631649815,61.185946750059074,0.589522266355677
7,12,12.52930611342497,57.74461970873662,0.7254527164852169
7,8,14.914214349420579,64.28613472559984,0.49021646129780994
7,4,20.696220783301694,89.22277507298146,0.14909655888324458
7,2,25.74013347601431,117.46158177953889,-3.4856482407136387
7,1,13.232629396927495,45.9673394783503,-1.4541188138419296
8,24,70.48497017014785,2.159303481694685,0.49521957188485666
8,12,83.10385690103139,1.9353576777979673,0.5754472415166729
8,8,102.35347252804902,1.4343460336490403,-0.344431977859992
8,4,121.06846017584334,1.4839019622386966,-1.5622865844780853
8,2,108.60788005132144,1.4779665009527747,-0.7475079823508708
8,1,76.91370567451827,1.3479765304793214,-0.45363258137845497
9,24,70.7153546249724,20.073099663029765,0.735899199088752
9,12,116.19257175125864,14.938054414116593,0.21508142334255165
9,8,146.94261931502396,14.892541258069453,0.12374387222055405
9,4,84.17719861127067,11.559832883041864,0.5813440805675161
9,2,15.025533712190905,6.965500644481168,0.675870067786104
9,1,12.334598280471237,6.599614245889679,0.17820927934811315
10,24,57.54277393977573,71.84129134058288,0.3263551919939611
10,12,90.65958560202616,77.46164110710309,0.34045510751574726
10,8,130.06026588154342,91.33741853190618,-0.6143463233831614
10,4,92.17399295463855,104.09858001932793,-0.9692068200794082
10,2,31.250292032504166,95.83731018088417,-11.142166435041899
10,1,5.721570738432541,13.841394229342622,0.6786511052108954
11,24,496.2584136894738,574.8524344885325,0.6794143452701638
11,12,959.054658400971,398.41594732585696,0.02475898047252112
